rank,geartype,name,mmsi,flag,port,km,near,dist_agree,delta,kn,h,vend,fish,vid,flag_gfw,flag_greatcircle
0.0877,SET_LONGLINES,BLOMEHA,659190000,NAM,walvis bay,248.4,226.1,DIFFER,0.0897,8.4,15.9,2023-09-02T14:17:34.000Z,2023-09-03T06:13:27.000Z,550d2640d-dec1-429b-f463-1054193e941f,TFCCTF{659190000_walvis bay_03.09.2023_06:13_AM_226.1},TFCCTF{659190000_walvis bay_03.09.2023_06:13_AM_248.4}
0.0869,TRAWLERS,ANABELLA M,701031000,ARG,puerto madryn,361.2,331.7,DIFFER,0.0817,6.5,29.8,2023-08-31T05:24:24.000Z,2023-09-01T11:11:45.000Z,00d2d88d9-9c44-183e-9b47-ee82181a9aa7,TFCCTF{701031000_puerto madryn_01.09.2023_11:11_AM_331.7},TFCCTF{701031000_puerto madryn_01.09.2023_11:11_AM_361.2}
0.0849,DRIFTING_LONGLINES,KEVIN MORGANE,660006300,REU,reunion,149.1,163.4,DIFFER,0.0878,7.6,10.6,2023-09-01T06:40:37.000Z,2023-09-01T17:16:50.000Z,8a1db7687-7134-12e7-bada-e8908e06769c,TFCCTF{660006300_reunion_01.09.2023_05:16_PM_163.4},TFCCTF{660006300_reunion_01.09.2023_05:16_PM_149.1}
0.0848,FISHING,SUGANYU04408,412365827,CHN,sheyang,102.8,94.6,DIFFER,0.0795,6.2,8.9,2023-09-03T08:50:40.000Z,2023-09-03T17:43:57.000Z,3b8233b79-91d0-d6b8-ab27-7d82ec2eed2a,TFCCTF{412365827_sheyang_03.09.2023_05:43_PM_94.6},TFCCTF{412365827_sheyang_03.09.2023_05:43_PM_102.8}
0.0831,DRIFTING_LONGLINES,LEYCE,224253000,ESP,horta,313.2,287.4,DIFFER,0.0826,6.6,25.8,2023-08-31T21:15:55.000Z,2023-09-01T23:02:44.000Z,fa086763c-cd7b-66e9-eb5b-36914644646c,TFCCTF{224253000_horta_01.09.2023_11:02_PM_287.4},TFCCTF{224253000_horta_01.09.2023_11:02_PM_313.2}
0.0826,TRAWLERS,COSTA NEVES II CN,710462738,BRA,rio grande,163.5,149.2,DIFFER,0.0874,7.4,11.9,2023-08-31T20:26:11.000Z,2023-09-01T08:22:15.000Z,ecca3b54c-cf93-8f4d-2f11-75bdad07b309,TFCCTF{710462738_rio grande_01.09.2023_08:22_AM_149.2},TFCCTF{710462738_rio grande_01.09.2023_08:22_AM_163.5}
0.0818,DRIFTING_LONGLINES,MARIANE DOUS,224233000,ESP,vigo,700.7,641.5,DIFFER,0.0844,6.8,55.7,2023-09-14T13:45:23.000Z,2023-09-16T21:27:28.000Z,1d19de397-76c8-d3ac-457d-e2b180330269,TFCCTF{224233000_vigo_16.09.2023_09:27_PM_641.5},TFCCTF{224233000_vigo_16.09.2023_09:27_PM_700.7}
0.0808,INCONCLUSIVE,MENG XIN21,412209171,CHN,conakry,111.9,102.0,DIFFER,0.0881,7.5,8.1,2023-09-26T00:21:06.000Z,2023-09-26T08:24:34.000Z,49c3327bb-b074-999f-27a8-13501eeff271,TFCCTF{412209171_conakry_26.09.2023_08:24_AM_102.0},TFCCTF{412209171_conakry_26.09.2023_08:24_AM_111.9}
0.0799,TRAWLERS,MIN PING YU61586,412445602,CHN,ningbo,342.6,313.2,DIFFER,0.0858,7.0,26.6,2023-09-03T19:39:00.000Z,2023-09-04T22:14:00.000Z,f37a44de0-0be9-9a2d-0cad-342d72bd9db0,TFCCTF{412445602_ningbo_04.09.2023_10:14_PM_313.2},TFCCTF{412445602_ningbo_04.09.2023_10:14_PM_342.6}
0.077,SET_LONGLINES,SHIN YANG NO:2,416000379,TWN,keelung,170.0,156.3,DIFFER,0.0806,6.2,14.9,2023-09-06T18:55:04.000Z,2023-09-07T09:49:50.000Z,1a3b6dec3-3709-1688-9679-77e7380c0d7f,TFCCTF{416000379_keelung_07.09.2023_09:49_AM_156.3},TFCCTF{416000379_keelung_07.09.2023_09:49_AM_170.0}
0.0769,SET_LONGLINES,VUI VUI II,367420020,USA,honolulu,533.6,487.6,DIFFER,0.0862,6.9,41.5,2023-09-04T20:48:58.000Z,2023-09-06T14:18:12.000Z,9665cce4f-f65a-71ed-10b7-4ea12de97322,TFCCTF{367420020_honolulu_06.09.2023_02:18_PM_487.6},TFCCTF{367420020_honolulu_06.09.2023_02:18_PM_533.6}
0.0764,FISHING,YUEYANGDONGYU14199,412462563,CHN,zhuhai,106.1,96.8,DIFFER,0.0877,7.2,7.9,2023-09-04T16:05:43.000Z,2023-09-05T00:01:16.000Z,1889077e3-3cd7-2be1-a4bc-1fa0ca38e86b,TFCCTF{412462563_zhuhai_05.09.2023_12:01_AM_96.8},TFCCTF{412462563_zhuhai_05.09.2023_12:01_AM_106.1}
0.0764,TRAWLERS,PACIFIC VIKING,303428000,USA,akutan,69.3,63.1,DIFFER,0.0893,7.7,4.9,2023-09-02T02:49:10.000Z,2023-09-02T07:41:31.000Z,4c49f018d-dd77-5ba8-678d-fd6fa4134af9,TFCCTF{303428000_akutan_02.09.2023_07:41_AM_63.1},TFCCTF{303428000_akutan_02.09.2023_07:41_AM_69.3}
0.0751,DRIFTING_LONGLINES,IMULA 0752GLE,417075291,LKA,galle,70.7,77.2,DIFFER,0.084,6.5,5.9,2023-09-09T10:14:56.000Z,2023-09-09T16:06:40.000Z,bf94029e5-55da-d78c-0bdc-7f7bae9f91df,TFCCTF{417075291_galle_09.09.2023_04:06_PM_77.2},TFCCTF{417075291_galle_09.09.2023_04:06_PM_70.7}
0.0742,FISHING,FU YANG 266,416001592,TWN,keelung,142.8,130.8,DIFFER,0.0844,6.5,11.8,2023-09-06T00:10:08.000Z,2023-09-06T11:56:41.000Z,3d4f1479e-e023-d839-47df-364e9e841cd3,TFCCTF{416001592_keelung_06.09.2023_11:56_AM_130.8},TFCCTF{416001592_keelung_06.09.2023_11:56_AM_142.8}
0.074,DRIFTING_LONGLINES,ITASCA,367559120,USA,honolulu,531.7,488.8,DIFFER,0.0806,6.1,47.3,2023-09-26T04:40:07.000Z,2023-09-28T03:57:45.000Z,6bb455113-31f5-c067-c8d4-ae44212f8077,TFCCTF{367559120_honolulu_28.09.2023_03:57_AM_488.8},TFCCTF{367559120_honolulu_28.09.2023_03:57_AM_531.7}
0.0716,TRAWLERS,GUIBEIYU82066,412502316,CHN,yangjiang,187.8,172.5,DIFFER,0.0815,6.1,16.6,2023-09-04T15:27:05.000Z,2023-09-05T08:03:28.000Z,479284e9a-a275-590a-9ddd-533c1f2ae765,TFCCTF{412502316_yangjiang_05.09.2023_08:03_AM_172.5},TFCCTF{412502316_yangjiang_05.09.2023_08:03_AM_187.8}
0.0706,NA,YUEHUILAIYU43266,412466459,CHN,shenquan,58.8,53.9,DIFFER,0.0828,6.2,5.1,2023-09-05T12:45:49.000Z,2023-09-05T17:51:24.000Z,f101f73b4-4cfa-c253-ef2c-8f64d5fbabb4,TFCCTF{412466459_shenquan_05.09.2023_05:51_PM_53.9},TFCCTF{412466459_shenquan_05.09.2023_05:51_PM_58.8}
0.0697,TRAWLERS,LURONGYU55337,412325874,CHN,shidao,219.7,199.8,DIFFER,0.0903,7.7,15.4,2023-09-23T12:52:56.000Z,2023-09-24T04:18:27.000Z,5c7570ea9-9db7-2d08-8adf-8e51f0a557c3,TFCCTF{412325874_shidao_24.09.2023_04:18_AM_199.8},TFCCTF{412325874_shidao_24.09.2023_04:18_AM_219.7}
0.0656,TRAWLERS,JINHANYU 04852,412301003,CHN,rongcheng,94.6,86.4,DIFFER,0.0869,6.7,7.7,2023-09-07T11:20:44.000Z,2023-09-07T18:59:55.000Z,bfc3a2e53-3d8c-299b-a31d-4cc74d3b122a,TFCCTF{412301003_rongcheng_07.09.2023_06:59_PM_86.4},TFCCTF{412301003_rongcheng_07.09.2023_06:59_PM_94.6}
0.064,DRIFTING_LONGLINES,PARVATI,660001400,REU,reunion,346.3,316.3,DIFFER,0.0866,6.6,28.5,2023-09-16T13:42:18.000Z,2023-09-17T18:10:54.000Z,22aa93060-0292-44c8-aeee-479cdd4c999c,TFCCTF{660001400_reunion_17.09.2023_06:10_PM_316.3},TFCCTF{660001400_reunion_17.09.2023_06:10_PM_346.3}
0.0632,DRIFTING_LONGLINES,LONG FUH TSAIR,416001762,TWN,keelung,173.9,159.4,DIFFER,0.0832,6.0,15.5,2023-09-06T18:44:39.000Z,2023-09-07T10:17:07.000Z,2ab858148-82b1-9256-d9cc-9abd7658f23a,TFCCTF{416001762_keelung_07.09.2023_10:17_AM_159.4},TFCCTF{416001762_keelung_07.09.2023_10:17_AM_173.9}
0.0631,TRAWLERS,RONIDA,512002264,NZL,timaru,61.7,67.7,DIFFER,0.0881,6.8,4.9,2023-09-06T12:07:35.000Z,2023-09-06T17:00:32.000Z,363c9a7f3-37af-24d6-cd5f-3385b91e3112,TFCCTF{512002264_timaru_06.09.2023_05:00_PM_67.7},TFCCTF{512002264_timaru_06.09.2023_05:00_PM_61.7}
0.0589,FISHING,ZHEPUYU72333,412423083,CHN,ningbo,347.7,315.9,DIFFER,0.0915,7.6,24.8,2023-09-04T03:07:25.000Z,2023-09-05T03:54:06.000Z,e341b940d-d3c0-df5e-2cc1-43b8474f5fc5,TFCCTF{412423083_ningbo_05.09.2023_03:54_AM_315.9},TFCCTF{412423083_ningbo_05.09.2023_03:54_AM_347.7}
0.0585,DRIFTING_LONGLINES,AL MURTAZA-- C-F-Z,422341827,IRN,chabahar,164.2,149.5,DIFFER,0.0896,7.0,12.7,2023-09-12T16:53:23.000Z,2023-09-13T05:37:16.000Z,12e2dc45d-ddc3-60d3-4074-def67154892a,TFCCTF{422341827_chabahar_13.09.2023_05:37_AM_149.5},TFCCTF{422341827_chabahar_13.09.2023_05:37_AM_164.2}
0.0569,TRAWLERS,123,419999968,IND,yangjiang,183.2,167.5,DIFFER,0.0862,6.2,15.9,2023-09-04T16:07:51.000Z,2023-09-05T08:01:16.000Z,1bb64096a-a8f9-52ee-581e-4327b44a786f,TFCCTF{419999968_yangjiang_05.09.2023_08:01_AM_167.5},TFCCTF{419999968_yangjiang_05.09.2023_08:01_AM_183.2}
0.0567,TRAWLERS,ZHU XIANG 1768,412468425,CHN,hongkong,115.7,105.9,DIFFER,0.0851,6.1,10.3,2023-09-04T12:16:19.000Z,2023-09-04T22:34:59.000Z,c5e4e2abf-fb5d-9526-fa91-f149d8dee041,TFCCTF{412468425_hongkong_04.09.2023_10:34_PM_105.9},TFCCTF{412468425_hongkong_04.09.2023_10:34_PM_115.7}
0.0522,FISHING,LIAOYINGYUYUN36009,412213957,CHN,shidao,171.0,155.3,DIFFER,0.0916,7.3,12.7,2023-09-21T13:56:46.000Z,2023-09-22T02:40:41.000Z,e0d181c6f-f581-5da9-e004-a5afb2e28ca2,TFCCTF{412213957_shidao_22.09.2023_02:40_AM_155.3},TFCCTF{412213957_shidao_22.09.2023_02:40_AM_171.0}
0.0484,TRAWLERS,LURONGYU58707,412328502,CHN,shidao,67.4,74.0,DIFFER,0.0898,6.5,5.6,2023-09-13T13:41:58.000Z,2023-09-13T19:16:00.000Z,04e4a79f5-506a-ddd2-d91e-40bcc1ee47cd,TFCCTF{412328502_shidao_13.09.2023_07:16_PM_74.0},TFCCTF{412328502_shidao_13.09.2023_07:16_PM_67.4}
0.0473,FISHING,YUEYANGDONGYU14001,412463432,CHN,zhuhai,88.0,79.8,DIFFER,0.0929,7.4,6.4,2023-09-04T15:58:27.000Z,2023-09-04T22:21:33.000Z,d78b90c4f-f380-2b56-591e-1cbdcb2f7199,TFCCTF{412463432_zhuhai_04.09.2023_10:21_PM_79.8},TFCCTF{412463432_zhuhai_04.09.2023_10:21_PM_88.0}
0.046,TRAWLERS,YUEHUILAIYU41346,412466645,CHN,shenquan,63.0,57.2,DIFFER,0.0916,6.9,4.9,2023-09-05T12:58:37.000Z,2023-09-05T17:54:07.000Z,3bef4cb34-4ddd-e2c3-b7fc-90972291bace,TFCCTF{412466645_shenquan_05.09.2023_05:54_PM_57.2},TFCCTF{412466645_shenquan_05.09.2023_05:54_PM_63.0}
0.045,DRIFTING_LONGLINES,MARIA CLARA,710019030,BRA,natal,167.0,151.9,DIFFER,0.0902,6.5,13.9,2023-09-21T23:03:48.000Z,2023-09-22T12:59:11.000Z,93b26fca7-7742-42dd-758c-11c562a91f04,TFCCTF{710019030_natal_22.09.2023_12:59_PM_151.9},TFCCTF{710019030_natal_22.09.2023_12:59_PM_167.0}
0.045,FISHING,ZHEPUYU72727,412422211,CHN,ningbo,350.6,317.7,DIFFER,0.0938,7.7,24.4,2023-09-04T03:35:24.000Z,2023-09-05T04:01:41.000Z,6173e7f6e-e09e-360b-a917-199c9316cd43,TFCCTF{412422211_ningbo_05.09.2023_04:01_AM_317.7},TFCCTF{412422211_ningbo_05.09.2023_04:01_AM_350.6}
0.0439,TRAWLERS,YUEHUILAIYU43100,412466244,CHN,shenquan,58.0,52.8,DIFFER,0.0896,6.3,5.0,2023-09-05T13:22:56.000Z,2023-09-05T18:21:56.000Z,ddedb32d8-8365-4bf5-e687-25c717149a9b,TFCCTF{412466244_shenquan_05.09.2023_06:21_PM_52.8},TFCCTF{412466244_shenquan_05.09.2023_06:21_PM_58.0}
0.0427,FISHING,ZHEDAIYU15298,412427051,CHN,shanghai,124.2,112.4,DIFFER,0.095,8.5,7.9,2023-09-03T08:55:01.000Z,2023-09-03T16:50:58.000Z,3cf788089-920d-c436-737f-e5650544c32b,TFCCTF{412427051_shanghai_03.09.2023_04:50_PM_112.4},TFCCTF{412427051_shanghai_03.09.2023_04:50_PM_124.2}
0.0411,TRAWLERS,YUEXINHUIYU02162,412462593,CHN,zhuhai,99.9,90.3,DIFFER,0.0958,9.6,5.6,2023-09-04T17:04:53.000Z,2023-09-04T22:43:14.000Z,5a9ec7f3c-c295-62c2-9d6d-b956590494be,TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_90.3},TFCCTF{412462593_zhuhai_04.09.2023_10:43_PM_99.9}
