score,story,tail_score,name,tail,tail_why,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,gap_h,kn,km_calc,km_gfw,dkm,exact1dp,fish_start,src,vid,flag_calc,flag_gfw
0.0044,0.022,0.2,MARIA GRACIA,GRACIA,no wide glyph,701000725,ARG,TRAWLERS,MAR DEL PLATA,17,1,63,5.9,7.14,78.0,84.3,6.3,no,2023-09-03T19:57:39,trawler-slice,32d7c7afc-c4e1-28a4-f10a-3a517a2828b1,TFCCTF{701000725_mar del plata_03.09.2023_07:57_PM_78.0},TFCCTF{701000725_mar del plata_03.09.2023_07:57_PM_84.3}
0.0043,0.0078,0.55,KOMUKANDI,UKANDI,"wide glyph, wrong index",659218000,NAM,TRAWLERS,WALVIS BAY,14,3,106,6.75,9.06,113.2,120.2,7.0,no,2023-09-01T01:13:14,trawler-slice,2c072db60-0d00-c4f4-91ce-9c19be9a9c22,TFCCTF{659218000_walvis bay_01.09.2023_01:13_AM_113.2},TFCCTF{659218000_walvis bay_01.09.2023_01:13_AM_120.2}
0.0043,0.0197,0.22,ZHEPUYU19111,U19111,"wide glyph, wrong index, digits in tail",412423264,CHN,TRAWLERS,NINGBO,5,1,85,19.0,8.5,299.1,281.7,17.4,no,2023-09-04T23:53:46,trawler-slice,97aeef06d-dc18-cd0e-eb02-85dfd3a810b7,TFCCTF{412423264_ningbo_04.09.2023_11:53_PM_299.1},TFCCTF{412423264_ningbo_04.09.2023_11:53_PM_281.7}
0.0042,0.0208,0.2,NANNY BESSIE,BESSIE,no wide glyph,316023983,CAN,TRAWLERS,LOUISBURG,10,3,49,7.9,9.82,143.7,145.9,2.2,no,2023-09-09T07:16:07,trawler-slice,712a8bb75-53b2-e3e1-0c39-4821d497e041,TFCCTF{316023983_louisburg_09.09.2023_07:16_AM_143.7},TFCCTF{316023983_louisburg_09.09.2023_07:16_AM_145.9}
0.0042,0.0525,0.08,ZHE LIN YU 21339, 21339,"no wide glyph, digits in tail",412413235,CHN,FISHING,SHANGHAI,4,2,76,4.78,9.0,79.7,77.7,2.0,no,2023-09-03T12:06:03,agent8-fill,f353874c4-4b4a-c3a4-bedc-788db5a3147f,TFCCTF{412413235_shanghai_03.09.2023_12:06_PM_79.7},TFCCTF{412413235_shanghai_03.09.2023_12:06_PM_77.7}
0.0042,0.0208,0.2,KERAVEL,ERAVEL,no wide glyph,361000400,SPM,FIXED_GEAR,ST PIERRE,26,3,6,12.46,6.21,143.3,143.4,0.1,no,2023-09-09T12:51:23,agent8-fill,25a5b7f0e-ed41-a391-36ed-b62c612e4732,TFCCTF{361000400_st pierre_09.09.2023_12:51_PM_143.3},TFCCTF{361000400_st pierre_09.09.2023_12:51_PM_143.4}
0.0042,0.0192,0.22,YUEJIANGCHENGYU90691,U90691,"wide glyph, wrong index, digits in tail",412483686,CHN,TRAWLERS,YANGJIANG,9,2,10,5.06,9.09,85.2,79.9,5.3,no,2023-09-09T21:05:40,trawler-slice,36c7a490a-a159-56fc-f347-068cd26bffce,TFCCTF{412483686_yangjiang_09.09.2023_09:05_PM_85.2},TFCCTF{412483686_yangjiang_09.09.2023_09:05_PM_79.9}
0.0042,0.0192,0.22,YUEHUILAIYU41005,U41005,"wide glyph, wrong index, digits in tail",412466977,CHN,TRAWLERS,SHENQUAN,8,3,63,4.02,7.14,53.1,49.9,3.2,no,2023-09-06T09:45:02,trawler-slice,8e8c63e86-6f21-6b3f-1ce0-0dd990a01e44,TFCCTF{412466977_shenquan_06.09.2023_09:45_AM_53.1},TFCCTF{412466977_shenquan_06.09.2023_09:45_AM_49.9}
0.0042,0.0192,0.22,YUEHUILAIYU41346,U41346,"wide glyph, wrong index, digits in tail",412466645,CHN,TRAWLERS,SHENQUAN,8,2,85,4.92,6.9,63.0,57.2,5.8,no,2023-09-05T17:54:07,trawler-slice,3bef4cb34-4ddd-e2c3-b7fc-90972291bace,TFCCTF{412466645_shenquan_05.09.2023_05:54_PM_63.0},TFCCTF{412466645_shenquan_05.09.2023_05:54_PM_57.2}
0.0041,0.0187,0.22,MING JINN TSAI NO6,AI NO6,"wide glyph, wrong index, digits in tail",416002156,TWN,DRIFTING_LONGLINES,DONGGANG,9,5,68,11.33,6.03,126.7,127.7,1.0,no,2023-09-06T14:00:04,longline-slice,4c62463c3-3dd3-4e2e-fec9-f6313b8bb6a3,TFCCTF{416002156_donggang_06.09.2023_02:00_PM_126.7},TFCCTF{416002156_donggang_06.09.2023_02:00_PM_127.7}
