score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
0.0825,DRAGON,DRAGON,0,368233890,USA,POLE_AND_LINE,newport beach,114.5,22.4,7.5,8.2,631a59b4c-c56b-df41-43fe-ec7958e1d52e,TFCCTF{368233890_newport beach_24.09.2023_09:32_AM_22.4},TFCCTF{368233890_newport beach_24.09.2023_09:32_AM_114.5}
0.0825,SUMMER ROSE OB141, OB141,0,232014949,GBR,DREDGE_FISHING,oban,54.3,9.2,6.4,4.6,799a7c6c0-0b34-71cf-63c4-a9fdb29dbd1c,TFCCTF{232014949_oban_05.09.2023_04:06_AM_9.2},TFCCTF{232014949_oban_05.09.2023_04:06_AM_54.3}
0.0825,BOW AQUARIUS,UARIUS,0,257384000,NOR,INCONCLUSIVE,antwerp,54.4,0.7,6.4,4.6,3557551f9-935c-7d84-8320-657380f2c7ec,TFCCTF{257384000_antwerp_04.09.2023_01:10_AM_0.7},TFCCTF{257384000_antwerp_04.09.2023_01:10_AM_54.4}
0.08228,ZHELINGYU74089,U74089,0,412417154,CHN,TRAWLERS,taizhou,445.4,236.2,9.0,26.8,fa2da57ea-a40d-6040-e53f-68f30e17a14c,TFCCTF{412417154_taizhou_17.09.2023_08:43_AM_236.2},TFCCTF{412417154_taizhou_17.09.2023_08:43_AM_445.4}
0.08196,ZHONG SHUI 627,UI 627,9778571,412331101,CHN,DRIFTING_LONGLINES,suva,580.2,366.7,7.2,43.3,f343ccd5b-be71-e1a3-2b5a-da9732ceceee,TFCCTF{412331101_suva_02.09.2023_11:20_PM_366.7},TFCCTF{412331101_suva_02.09.2023_11:20_PM_580.2}
0.08196,ALESTAR,LESTAR,0,273370490,RUS,FISHING,vladivostok,828.9,38.9,8.0,56.0,1cf353385-5f98-6ecc-dafc-1b236df9dfc4,TFCCTF{273370490_vladivostok_10.09.2023_12:35_AM_38.9},TFCCTF{273370490_vladivostok_10.09.2023_12:35_AM_828.9}
0.08157,MINFUDINGYU08289,U08289,0,412450034,CHN,TRAWLERS,songmen,396.9,175.6,8.5,25.1,1d06deb2d-d857-6e06-3241-8aa3a74ac06d,TFCCTF{412450034_songmen_05.09.2023_11:20_AM_175.6},TFCCTF{412450034_songmen_05.09.2023_11:20_AM_396.9}
0.08144,ZHESANYU25999,U25999,0,412411353,CHN,FISHING,gouqi island,116.1,86.2,10.7,5.9,ac7a71a6d-d443-2090-8e3a-691210d99746,TFCCTF{412411353_gouqi island_03.09.2023_12:26_PM_86.2},TFCCTF{412411353_gouqi island_03.09.2023_12:26_PM_116.1}
0.08144,SUGANYU02295,U02295,0,412365042,CHN,FISHING,lusi,124.5,91.5,9.3,7.2,0e809ed36-626c-89a8-b63e-019ec0e51be0,TFCCTF{412365042_lusi_23.09.2023_10:44_PM_91.5},TFCCTF{412365042_lusi_23.09.2023_10:44_PM_124.5}
0.08144,ZHERUIYU01760,U01760,0,412431692,CHN,FISHING,ruian,332.3,212.5,9.3,19.2,e444fd57c-c913-f160-cafb-77798b137e74,TFCCTF{412431692_ruian_16.09.2023_10:55_PM_212.5},TFCCTF{412431692_ruian_16.09.2023_10:55_PM_332.3}
0.08144,LUJIAOYU60168,U60168,0,412349503,CHN,FISHING,qingdao,225.8,137.1,9.3,13.1,e616ae91d-dbd4-18b1-76aa-db054ac02bcb,TFCCTF{412349503_qingdao_04.09.2023_06:04_PM_137.1},TFCCTF{412349503_qingdao_04.09.2023_06:04_PM_225.8}
0.08144,ZHE LIN YU 21938, 21938,0,412413638,CHN,FISHING,shanghai,86.5,51.1,10.7,4.4,db6869cce-e0ee-18c2-15dd-ec32f4d9362c,TFCCTF{412413638_shanghai_03.09.2023_10:36_AM_51.1},TFCCTF{412413638_shanghai_03.09.2023_10:36_AM_86.5}
0.08144,ZHEPUYU68051,U68051,0,412422712,CHN,FISHING,zhoushan,301.5,165.7,9.3,17.5,245d5a535-57ea-63c5-5658-04670f999556,TFCCTF{412422712_zhoushan_16.09.2023_06:39_AM_165.7},TFCCTF{412422712_zhoushan_16.09.2023_06:39_AM_301.5}
0.08144,ZHEDAIYU10303,U10303,0,412426645,CHN,FISHING,diashan,225.0,108.9,9.3,13.1,6a2a1021f-fca5-7aea-3c8d-0367e56967e8,TFCCTF{412426645_diashan_03.09.2023_07:16_PM_108.9},TFCCTF{412426645_diashan_03.09.2023_07:16_PM_225.0}
0.08144,SU GAN YU  02639, 02639,0,412364812,CHN,FISHING,lianyungang,104.8,49.0,9.3,6.1,3612c9e8a-aa8f-f130-b3af-a2848b297e2c,TFCCTF{412364812_lianyungang_14.09.2023_06:52_AM_49.0},TFCCTF{412364812_lianyungang_14.09.2023_06:52_AM_104.8}
0.08144,LIAO SUI YU 5891,U 5891,0,412505891,CHN,FISHING,shanhaiguan,130.2,60.1,9.3,7.6,6124e4069-9077-f30c-c6ad-ddaeda43234d,TFCCTF{412505891_shanhaiguan_01.09.2023_01:52_PM_60.1},TFCCTF{412505891_shanhaiguan_01.09.2023_01:52_PM_130.2}
0.08144,MINFUDINGYU04339,U04339,0,412450302,CHN,FISHING,zhoushan,238.1,104.9,9.3,13.8,8a6a7d63a-a66d-9369-dcea-910aa7491e34,TFCCTF{412450302_zhoushan_03.09.2023_08:05_PM_104.9},TFCCTF{412450302_zhoushan_03.09.2023_08:05_PM_238.1}
0.08144,ZHELINGYUYUN61056,N61056,0,412414347,CHN,FISHING,zhoushan,228.4,77.5,10.7,11.5,7b33cb54e-e788-0ffe-b5bf-7aac701b1497,TFCCTF{412414347_zhoushan_11.09.2023_10:28_PM_77.5},TFCCTF{412414347_zhoushan_11.09.2023_10:28_PM_228.4}
0.08144,LULANYU60003,U60003,0,412330435,CHN,FISHING,lanshan,201.0,60.8,9.3,11.7,a1faba6da-af43-3608-0d44-23c901e2b80b,TFCCTF{412330435_lanshan_06.09.2023_06:53_AM_60.8},TFCCTF{412330435_lanshan_06.09.2023_06:53_AM_201.0}
0.08144,MINFUDINGYU  01978, 01978,0,412440818,CHN,FISHING,ningbo,77.5,22.3,9.3,4.5,e90b0b39b-b2d2-1cfd-7c22-4bfb9cf40c21,TFCCTF{412440818_ningbo_07.09.2023_12:34_AM_22.3},TFCCTF{412440818_ningbo_07.09.2023_12:34_AM_77.5}
0.08144,MINSHIYU07251,U07251,0,412452938,CHN,FISHING,quanzhou,258.4,72.3,9.3,15.0,983cdcf46-66d3-ce13-479f-bce18db58496,TFCCTF{412452938_quanzhou_06.09.2023_02:59_AM_72.3},TFCCTF{412452938_quanzhou_06.09.2023_02:59_AM_258.4}
0.08144,ZHEDAIYU10217,U10217,0,412426554,CHN,FISHING,zhoushan,76.8,21.1,9.3,4.4,ae5216c02-2187-e621-7d3e-6d4ea96183bc,TFCCTF{412426554_zhoushan_03.09.2023_10:46_AM_21.1},TFCCTF{412426554_zhoushan_03.09.2023_10:46_AM_76.8}
0.08144,LUCHENGYU60225,U60225,0,412348903,CHN,FISHING,qingdao,75.3,19.2,9.3,4.4,d2f47ed87-752b-ea21-9b44-f08b2fa01510,TFCCTF{412348903_qingdao_01.09.2023_06:34_PM_19.2},TFCCTF{412348903_qingdao_01.09.2023_06:34_PM_75.3}
0.08144,ZHEDAIYU10271,U10271,0,412426638,CHN,FISHING,zhoushan,70.9,17.3,9.3,4.1,9d4ab9c21-1696-46e0-0417-34d98b12422e,TFCCTF{412426638_zhoushan_03.09.2023_11:02_AM_17.3},TFCCTF{412426638_zhoushan_03.09.2023_11:02_AM_70.9}
0.08144,QIONGLINYUYUN71016,N71016,0,412520974,CHN,FISHING,zhoushan,154.2,35.5,9.3,8.9,bccaa3901-1f5c-93db-1270-76fcfbc6df9d,TFCCTF{412520974_zhoushan_02.09.2023_09:50_PM_35.5},TFCCTF{412520974_zhoushan_02.09.2023_09:50_PM_154.2}
0.08144,LIAOWAYU25061,U25061,0,412568999,CHN,FISHING,rongcheng,153.5,25.6,10.7,7.7,5c2082bfe-e326-d3e6-e17b-b54d46dcb421,TFCCTF{412568999_rongcheng_02.09.2023_04:34_PM_25.6},TFCCTF{412568999_rongcheng_02.09.2023_04:34_PM_153.5}
0.08144,HAIBAO156,BAO156,0,413886658,CHN,FISHING,taizhou,312.3,36.3,9.3,18.2,5a80a9c65-50ef-0ff3-ce3f-d3f9e57bda3a,TFCCTF{413886658_taizhou_04.09.2023_11:01_PM_36.3},TFCCTF{413886658_taizhou_04.09.2023_11:01_PM_312.3}
0.08144,NO.111 KEUM SUNG,M SUNG,0,440109300,KOR,FISHING,busan,348.9,26.1,9.3,20.4,a0b0d72a7-78fb-84a5-6960-878bb010374d,TFCCTF{440109300_busan_03.09.2023_06:36_PM_26.1},TFCCTF{440109300_busan_03.09.2023_06:36_PM_348.9}
0.08144,JILEYU03329,U03329,0,412289227,CHN,FISHING,jingtang,70.2,1.1,9.3,4.1,9595a67f8-8f78-948a-b73c-38a1a1963567,TFCCTF{412289227_jingtang_01.09.2023_12:24_PM_1.1},TFCCTF{412289227_jingtang_01.09.2023_12:24_PM_70.2}
0.08144,MINXIAYU01819,U01819,0,412442619,CHN,FISHING,lusi,150.7,0,10.7,7.6,0be283034-4910-bcb4-6064-ec524b98dbe2,TFCCTF{412442619_lusi_23.09.2023_04:31_PM_0},TFCCTF{412442619_lusi_23.09.2023_04:31_PM_150.7}
0.08137,YUEHUILAIYU43503,U43503,0,412466487,CHN,TRAWLERS,shenquan,64.0,61.2,8.2,4.2,4f053242b-b82b-a434-0844-2521f3be9e8f,TFCCTF{412466487_shenquan_06.09.2023_04:42_AM_61.2},TFCCTF{412466487_shenquan_06.09.2023_04:42_AM_64.0}
0.08137,YUEHUILAIYU43546,U43546,0,412466868,CHN,TRAWLERS,shenquan,61.9,59.0,8.2,4.1,cac116212-2bdb-6862-5921-c2d2e5b00ffa,TFCCTF{412466868_shenquan_05.09.2023_06:25_PM_59.0},TFCCTF{412466868_shenquan_05.09.2023_06:25_PM_61.9}
0.08137,YUEHUILAIYU43043,U43043,0,412466437,CHN,TRAWLERS,shenquan,68.2,64.1,8.2,4.5,a512fa93d-d446-c45e-5cf2-66595ab6304a,TFCCTF{412466437_shenquan_06.09.2023_05:11_AM_64.1},TFCCTF{412466437_shenquan_06.09.2023_05:11_AM_68.2}
0.08137,ZHELINGYU69217,U69217,0,412419255,CHN,TRAWLERS,taizhou,311.0,266.6,8.2,20.4,d76f240e4-4833-32dd-f169-8c55a0534e22,TFCCTF{412419255_taizhou_17.09.2023_01:28_AM_266.6},TFCCTF{412419255_taizhou_17.09.2023_01:28_AM_311.0}
0.08137,SHUN JIN MAN NO.6,N NO.6,0,416000747,TWN,TRAWLERS,keelung,89.1,70.2,8.2,5.8,af6552ce3-3c70-d66a-925f-69907aea6e90,TFCCTF{416000747_keelung_05.09.2023_10:25_AM_70.2},TFCCTF{416000747_keelung_05.09.2023_10:25_AM_89.1}
0.08137,ZHEPUYU18351,U18351,0,412411838,CHN,TRAWLERS,ningbo,72.3,55.9,8.2,4.7,de50cdbf1-13d2-16d4-8241-cb08eafdae89,TFCCTF{412411838_ningbo_03.09.2023_05:53_PM_55.9},TFCCTF{412411838_ningbo_03.09.2023_05:53_PM_72.3}
0.08137,ZHEXIANGYU50293,U50293,0,412436354,CHN,TRAWLERS,shipu,162.1,125.7,11.8,7.4,ce75b524d-d8f2-372e-f94f-a67894fc9a39,TFCCTF{412436354_shipu_17.09.2023_06:42_AM_125.7},TFCCTF{412436354_shipu_17.09.2023_06:42_AM_162.1}
0.08137,ZHELINGYU15018,U15018,0,412419444,CHN,TRAWLERS,taizhou,285.5,218.8,8.2,18.8,80dbc6503-3b8b-5c59-6bcc-547a3237da6b,TFCCTF{412419444_taizhou_05.09.2023_12:26_PM_218.8},TFCCTF{412419444_taizhou_05.09.2023_12:26_PM_285.5}
0.08137,ZHEPUYU19268,U19268,0,412422289,CHN,TRAWLERS,ningbo,70.5,53.8,8.2,4.7,b7794270c-cd5e-cf06-3870-d745c9c182ee,TFCCTF{412422289_ningbo_04.09.2023_04:50_AM_53.8},TFCCTF{412422289_ningbo_04.09.2023_04:50_AM_70.5}
0.08137,86001,86001,0,412386001,CHN,TRAWLERS,zhoushan,272.1,198.8,8.2,17.9,5a3bde2de-ed8d-5d67-ca5b-c8ae5404d1bd,TFCCTF{412386001_zhoushan_04.09.2023_01:45_AM_198.8},TFCCTF{412386001_zhoushan_04.09.2023_01:45_AM_272.1}
0.08137,ZHELINGYU23136,U23136,0,412417074,CHN,TRAWLERS,taizhou,179.0,125.4,8.2,11.8,6e6ea112d-d598-b64a-1409-58d33aaf1d7d,TFCCTF{412417074_taizhou_05.09.2023_11:49_PM_125.4},TFCCTF{412417074_taizhou_05.09.2023_11:49_PM_179.0}
0.08137,ZHEXIANGYU42019,U42019,0,412437257,CHN,TRAWLERS,shipu,200.1,132.2,8.2,13.2,a242e6d1b-bbdb-4e71-604d-514775719ace,TFCCTF{412437257_shipu_16.09.2023_09:58_PM_132.2},TFCCTF{412437257_shipu_16.09.2023_09:58_PM_200.1}
0.08137,ZHEPUYU21155,U21155,0,412421416,CHN,TRAWLERS,zhoushan,298.4,196.0,8.2,19.6,b882f18b3-3ab5-c614-490f-1eb4e15d6f8a,TFCCTF{412421416_zhoushan_04.09.2023_03:38_AM_196.0},TFCCTF{412421416_zhoushan_04.09.2023_03:38_AM_298.4}
0.08137,ZHELINGYU96056,U96056,0,412417707,CHN,TRAWLERS,taizhou,196.2,127.1,8.2,12.9,e5f08f40d-dffb-eed4-83d0-323ead30ca5a,TFCCTF{412417707_taizhou_04.09.2023_04:04_PM_127.1},TFCCTF{412417707_taizhou_04.09.2023_04:04_PM_196.2}
0.08137,ZHELINGYU26901,U26901,0,412418782,CHN,TRAWLERS,taizhou,186.5,121.6,8.2,12.3,ac4ac73a0-05e3-4bfa-32b0-9891017ff1da,TFCCTF{412418782_taizhou_04.09.2023_04:11_PM_121.6},TFCCTF{412418782_taizhou_04.09.2023_04:11_PM_186.5}
0.08137,ZHE PU YU 68268, 68268,0,412423484,CHN,TRAWLERS,zhoushan,157.8,100.8,8.2,10.3,df0b4c3f8-8a01-070f-9c84-022b21ea0b96,TFCCTF{412423484_zhoushan_03.09.2023_11:13_PM_100.8},TFCCTF{412423484_zhoushan_03.09.2023_11:13_PM_157.8}
0.08137,ZHEPUYU68956,U68956,0,412422241,CHN,TRAWLERS,zhoushan,257.9,167.5,8.2,17.1,4d5308d89-99b9-f77e-4b93-6c9b274c081f,TFCCTF{412422241_zhoushan_12.09.2023_11:11_AM_167.5},TFCCTF{412422241_zhoushan_12.09.2023_11:11_AM_257.9}
0.08137,ZHELINGYU93039,U93039,0,412417673,CHN,TRAWLERS,taizhou,263.1,168.3,8.2,17.4,91f8e5bba-a19e-a4ed-2a85-dd9349a3bad1,TFCCTF{412417673_taizhou_05.09.2023_04:30_AM_168.3},TFCCTF{412417673_taizhou_05.09.2023_04:30_AM_263.1}
0.08137,LURONGYU51924,U51924,0,412321312,CHN,TRAWLERS,shidao,84.6,53.9,8.2,5.6,d496a807f-f72c-7e5c-abf3-7ef51bd865da,TFCCTF{412321312_shidao_01.09.2023_02:47_PM_53.9},TFCCTF{412321312_shidao_01.09.2023_02:47_PM_84.6}
0.08137,ZHELINGYU28850,U28850,0,412419685,CHN,TRAWLERS,taizhou,271.5,170.2,8.2,17.8,27cee062c-cf10-055a-fb68-b69c47f60841,TFCCTF{412419685_taizhou_16.09.2023_10:54_PM_170.2},TFCCTF{412419685_taizhou_16.09.2023_10:54_PM_271.5}
0.08137,ZHEPUYU32183,U32183,0,412421438,CHN,TRAWLERS,ningbo,98.4,61.5,8.2,6.5,200ef072d-d21c-9e49-d998-2596e25d3762,TFCCTF{412421438_ningbo_03.09.2023_11:38_PM_61.5},TFCCTF{412421438_ningbo_03.09.2023_11:38_PM_98.4}
0.08137,MINLIANYU60056,U60056,0,412441411,CHN,TRAWLERS,changqitou,81.7,51.4,8.2,5.4,5826a6212-2492-4bb1-95b2-16f6ce57e9c8,TFCCTF{412441411_changqitou_05.09.2023_06:14_PM_51.4},TFCCTF{412441411_changqitou_05.09.2023_06:14_PM_81.7}
0.08137,MINSHIYU07735,U07735,0,412452043,CHN,TRAWLERS,quanzhou,111.9,69.7,11.8,5.1,82e8d64bf-f151-f64f-df22-a954f0dfacee,TFCCTF{412452043_quanzhou_05.09.2023_08:37_PM_69.7},TFCCTF{412452043_quanzhou_05.09.2023_08:37_PM_111.9}
0.08137,LURONGYU56899,U56899,0,412325888,CHN,TRAWLERS,shidao,84.2,51.8,8.2,5.5,6fc5c5d92-2960-73d8-1e50-11e7c91586fa,TFCCTF{412325888_shidao_01.09.2023_02:00_PM_51.8},TFCCTF{412325888_shidao_01.09.2023_02:00_PM_84.2}
0.08137,ZHELINGYU19053,U19053,0,412416526,CHN,TRAWLERS,taizhou,157.3,95.4,8.2,10.4,df4d80929-9a12-d103-14da-957ffc166b14,TFCCTF{412416526_taizhou_29.09.2023_02:36_PM_95.4},TFCCTF{412416526_taizhou_29.09.2023_02:36_PM_157.3}
0.08137,ZHELINGYU23847,U23847,0,412416211,CHN,TRAWLERS,taizhou,306.1,183.2,11.8,14.1,20388724b-b331-a95c-37c7-1781865389a3,TFCCTF{412416211_taizhou_16.09.2023_10:16_PM_183.2},TFCCTF{412416211_taizhou_16.09.2023_10:16_PM_306.1}
0.08137,ZHEPUYU68912,U68912,0,412424415,CHN,TRAWLERS,zhoushan,108.2,65.8,8.2,7.2,118f19af9-9816-03cb-5911-bc6524357258,TFCCTF{412424415_zhoushan_03.09.2023_11:59_PM_65.8},TFCCTF{412424415_zhoushan_03.09.2023_11:59_PM_108.2}
0.08137,LUHAIYU61456,U61456,0,412005350,CHN,TRAWLERS,haiyang,94.0,54.3,11.8,4.3,4e03ad5b4-40b0-dba9-0bb4-648bd62bb4ea,TFCCTF{412005350_haiyang_03.09.2023_08:41_PM_54.3},TFCCTF{412005350_haiyang_03.09.2023_08:41_PM_94.0}
0.08137,ZHELINGYU28877,U28877,0,412418936,CHN,TRAWLERS,taizhou,302.4,172.3,8.2,20.0,fc9b3d9f8-8b8d-b748-f469-e21b1fd6e772,TFCCTF{412418936_taizhou_17.09.2023_12:14_AM_172.3},TFCCTF{412418936_taizhou_17.09.2023_12:14_AM_302.4}
0.08137,ZHELINGYU23561,U23561,0,412417273,CHN,TRAWLERS,taizhou,336.8,189.4,8.2,22.2,bf2edc994-43fb-7875-3e4d-8d9ca308a189,TFCCTF{412417273_taizhou_17.09.2023_03:05_AM_189.4},TFCCTF{412417273_taizhou_17.09.2023_03:05_AM_336.8}
0.08137,ZHEPUYU68083,U68083,0,412423689,CHN,TRAWLERS,zhoushan,152.9,83.8,8.2,10.0,76b008f36-60cf-1953-6f0d-44dabb84c1d9,TFCCTF{412423689_zhoushan_03.09.2023_05:39_PM_83.8},TFCCTF{412423689_zhoushan_03.09.2023_05:39_PM_152.9}
0.08137,ZHELINGYU26815,U26815,0,412417143,CHN,TRAWLERS,taizhou,306.6,168.5,8.2,20.2,a05933862-2362-ff18-e805-7e4457a449f2,TFCCTF{412417143_taizhou_05.09.2023_05:42_AM_168.5},TFCCTF{412417143_taizhou_05.09.2023_05:42_AM_306.6}
0.08137,ZHEPUYU33227,U33227,0,412422905,CHN,TRAWLERS,zhoushan,73.6,40.0,8.2,4.8,c544a7fab-b941-584d-fb4c-b60208817a03,TFCCTF{412422905_zhoushan_03.09.2023_06:02_PM_40.0},TFCCTF{412422905_zhoushan_03.09.2023_06:02_PM_73.6}
0.08137,ZHELUYU81415,U81415,0,412410472,CHN,TRAWLERS,taizhou,357.0,191.5,8.2,23.6,334c78682-2475-a91a-7c9f-74b484ba780f,TFCCTF{412410472_taizhou_05.09.2023_08:30_AM_191.5},TFCCTF{412410472_taizhou_05.09.2023_08:30_AM_357.0}
0.08137,GUIHEYU82069,U82069,0,412503082,CHN,TRAWLERS,yangjiang,138.5,73.4,8.2,9.1,4185abb52-290f-d45f-2aaf-6f7b16bba79c,TFCCTF{412503082_yangjiang_05.09.2023_02:06_PM_73.4},TFCCTF{412503082_yangjiang_05.09.2023_02:06_PM_138.5}
0.08137,LULANYU60057,U60057,0,412325993,CHN,TRAWLERS,lanshan,272.4,144.0,8.2,17.9,239e24258-8dcc-d143-0333-12b0600df1fe,TFCCTF{412325993_lanshan_01.09.2023_10:38_PM_144.0},TFCCTF{412325993_lanshan_01.09.2023_10:38_PM_272.4}
0.08137,ZHEPUYU68975,U68975,0,412400086,CHN,TRAWLERS,zhoushan,132.4,70.2,8.2,8.7,48d4d983d-d752-5393-c2b6-ff6562ee00ee,TFCCTF{412400086_zhoushan_03.09.2023_06:23_PM_70.2},TFCCTF{412400086_zhoushan_03.09.2023_06:23_PM_132.4}
0.08137,LUDONGGANGYU61782,U61782,0,412322352,CHN,TRAWLERS,rizhao,264.8,139.8,8.2,17.5,6d9081f3a-aa37-8ede-d749-9b1c452964ca,TFCCTF{412322352_rizhao_01.09.2023_10:14_PM_139.8},TFCCTF{412322352_rizhao_01.09.2023_10:14_PM_264.8}
0.08137,LURONGYU52349,U52349,0,412321285,CHN,TRAWLERS,rongcheng,96.2,50.1,11.8,4.4,18e9d7a15-52e3-5630-2afb-32ece4d282a4,TFCCTF{412321285_rongcheng_01.09.2023_02:53_PM_50.1},TFCCTF{412321285_rongcheng_01.09.2023_02:53_PM_96.2}
0.08137,ZHEPUYU68064,U68064,0,412422551,CHN,TRAWLERS,zhoushan,160.7,83.9,8.2,10.6,e072b2c22-2cee-290d-6d3e-5abd827a001b,TFCCTF{412422551_zhoushan_03.09.2023_08:21_PM_83.9},TFCCTF{412422551_zhoushan_03.09.2023_08:21_PM_160.7}
0.08137,LULANYU61596,U61596,0,412328525,CHN,TRAWLERS,lanshan,274.9,142.9,8.2,18.2,7a12b4020-0d2f-7880-daff-d83e10f8a4e7,TFCCTF{412328525_lanshan_01.09.2023_10:35_PM_142.9},TFCCTF{412328525_lanshan_01.09.2023_10:35_PM_274.9}
0.08137,23829,23829,0,412999929,CHN,TRAWLERS,yangjiang,172.7,84.9,8.2,11.4,d243d7883-3ce3-228a-46fb-fe86b01fdf00,TFCCTF{412999929_yangjiang_04.09.2023_07:17_PM_84.9},TFCCTF{412999929_yangjiang_04.09.2023_07:17_PM_172.7}
0.08137,TAI SHA 2238,A 2238,0,412470949,CHN,TRAWLERS,guangzhou,97.1,45.8,8.2,6.4,f88e6b2d4-4fd7-2f86-3a4e-a042451e1ada,TFCCTF{412470949_guangzhou_04.09.2023_01:14_PM_45.8},TFCCTF{412470949_guangzhou_04.09.2023_01:14_PM_97.1}
0.08137,ZHEDINGYU17106,U17106,0,412424769,CHN,TRAWLERS,zhoushan,97.4,45.6,8.2,6.4,d4da1e6c8-88dd-722b-9d01-ac3d61291aae,TFCCTF{412424769_zhoushan_04.09.2023_01:14_PM_45.6},TFCCTF{412424769_zhoushan_04.09.2023_01:14_PM_97.4}
0.08137,MINLUOYU58666,U58666,0,412441674,CHN,TRAWLERS,changqitou,113.2,52.4,8.2,7.4,0c0bd0533-352c-7632-0f0d-a90ed7f6c142,TFCCTF{412441674_changqitou_05.09.2023_03:05_PM_52.4},TFCCTF{412441674_changqitou_05.09.2023_03:05_PM_113.2}
0.08137,MINFUDINGYU06758,U06758,0,412451685,CHN,TRAWLERS,aojiang,182.9,84.8,8.2,12.0,361cf2625-5487-b0dd-2b2c-db3284bd6fc2,TFCCTF{412451685_aojiang_06.09.2023_04:41_AM_84.8},TFCCTF{412451685_aojiang_06.09.2023_04:41_AM_182.9}
0.08137,ZHEPUYU68985,U68985,0,412423839,CHN,TRAWLERS,zhoushan,100.7,45.1,8.2,6.6,9629da2f0-09de-5666-92fb-54f5922b607f,TFCCTF{412423839_zhoushan_04.09.2023_09:06_AM_45.1},TFCCTF{412423839_zhoushan_04.09.2023_09:06_AM_100.7}
0.08137,ZHEPUYU68058,U68058,0,412421505,CHN,TRAWLERS,zhoushan,147.0,66.0,8.2,9.7,47d03713d-d209-dbe2-7c1f-daa6119e7790,TFCCTF{412421505_zhoushan_03.09.2023_05:15_PM_66.0},TFCCTF{412421505_zhoushan_03.09.2023_05:15_PM_147.0}
0.08137,GUI HE YU 61999, 61999,0,412501117,CHN,TRAWLERS,beihai,156.3,69.6,8.2,10.3,2198abc0b-b20b-656f-67eb-5faa7277134e,TFCCTF{412501117_beihai_15.09.2023_02:05_AM_69.6},TFCCTF{412501117_beihai_15.09.2023_02:05_AM_156.3}
0.08137,55288,55288,0,412055288,CHN,TRAWLERS,shidao,97.4,42.0,11.8,4.5,a0e0edeb3-3bfa-93d6-e5fc-7d3242311b2c,TFCCTF{412055288_shidao_01.09.2023_12:03_PM_42.0},TFCCTF{412055288_shidao_01.09.2023_12:03_PM_97.4}
0.08137,ZHELONGGANGYU02188,U02188,0,412433164,CHN,TRAWLERS,aojiang,170.5,71.0,8.2,11.3,784ae1637-746c-0e7a-603f-2c6bfb4271c5,TFCCTF{412433164_aojiang_06.09.2023_02:54_AM_71.0},TFCCTF{412433164_aojiang_06.09.2023_02:54_AM_170.5}
0.08137,ZHEFENGYU10001,U10001,0,412438759,CHN,TRAWLERS,ningbo,287.8,117.5,8.2,18.9,75d134bbe-eb8e-1260-3a55-680e8cdab9fc,TFCCTF{412438759_ningbo_18.09.2023_02:57_PM_117.5},TFCCTF{412438759_ningbo_18.09.2023_02:57_PM_287.8}
0.08137,ZHEXIANGYU50020,U50020,0,412435463,CHN,TRAWLERS,shipu,109.8,42.7,8.2,7.2,6a293cab4-4d65-d5c4-a60f-36b60f834dde,TFCCTF{412435463_shipu_16.09.2023_02:33_PM_42.7},TFCCTF{412435463_shipu_16.09.2023_02:33_PM_109.8}
0.08137,ZHELONGGANGYU02588,U02588,0,412433349,CHN,TRAWLERS,aojiang,165.4,64.3,8.2,11.0,c5da3415d-ded1-8872-f46f-c35a6622a28e,TFCCTF{412433349_aojiang_06.09.2023_03:35_AM_64.3},TFCCTF{412433349_aojiang_06.09.2023_03:35_AM_165.4}
0.08137,LURONGYU57059,U57059,0,412328462,CHN,TRAWLERS,shidao,135.1,51.2,8.2,8.9,35ca59dd1-1e63-a741-86d0-4b176cadef93,TFCCTF{412328462_shidao_01.09.2023_02:10_PM_51.2},TFCCTF{412328462_shidao_01.09.2023_02:10_PM_135.1}
0.08137,MINFUDINYU08688,U08688,0,412450046,CHN,TRAWLERS,ningbo,253.4,94.7,8.2,16.8,e4c75d1b3-3d87-d250-2d20-d0fdb3fe61e8,TFCCTF{412450046_ningbo_16.09.2023_10:07_PM_94.7},TFCCTF{412450046_ningbo_16.09.2023_10:07_PM_253.4}
0.08137,ZHEFENGYU27016,U27016,0,412435597,CHN,TRAWLERS,ningbo,252.9,92.6,8.2,16.6,652561f20-0196-9b53-f0d0-2c3fd841c6fa,TFCCTF{412435597_ningbo_16.09.2023_10:09_PM_92.6},TFCCTF{412435597_ningbo_16.09.2023_10:09_PM_252.9}
0.08137,MINSHIYU07619,U07619,0,412451553,CHN,TRAWLERS,quanzhou,168.0,61.1,8.2,11.0,0bc9f6ff4-46fd-f874-4073-bafe5d2554d9,TFCCTF{412451553_quanzhou_05.09.2023_07:20_PM_61.1},TFCCTF{412451553_quanzhou_05.09.2023_07:20_PM_168.0}
0.08137,ZHEXIANGXU30266,U30266,0,412436543,CHN,TRAWLERS,shipu,99.8,36.2,11.8,4.6,15283dc25-583d-8e69-7358-970c23b2cf5d,TFCCTF{412436543_shipu_16.09.2023_09:55_AM_36.2},TFCCTF{412436543_shipu_16.09.2023_09:55_AM_99.8}
