score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
0.26625,MERICIA_4 BABACO,BABACO,0,710457855,BRA,TRAWLERS,itajai,151.7,23.2,9.1,9.0,769f6670d-db1c-cc30-e59a-e4648b74caf4,TFCCTF{710457855_itajai_11.09.2023_01:24_PM_23.2},TFCCTF{710457855_itajai_11.09.2023_01:24_PM_151.7}
0.26625,TONN RUAIRI N101,I N101,0,234839000,GBR,TRAWLERS,fraserburgh,158.4,21.5,10.9,7.9,26769d4f9-93c9-2321-fbae-a11040837002,TFCCTF{234839000_fraserburgh_07.09.2023_06:42_AM_21.5},TFCCTF{234839000_fraserburgh_07.09.2023_06:42_AM_158.4}
0.26392,NO MERCY, MERCY,0,338421038,USA,FISHING,harwich port,276.4,260.3,9.2,16.3,617ebc8fe-e04c-18d2-766b-2dac8ae26193,TFCCTF{338421038_harwich port_08.09.2023_05:11_PM_260.3},TFCCTF{338421038_harwich port_08.09.2023_05:11_PM_276.4}
0.26341,F/V IBARDIN,BARDIN,8918576,227570000,FRA,FIXED_GEAR,pasajes,765.2,268.7,9.2,45.1,fbba3caf3-33e7-7e3f-f0a5-bb6c11e69934,TFCCTF{227570000_pasajes_06.09.2023_04:21_PM_268.7},TFCCTF{227570000_pasajes_06.09.2023_04:21_PM_765.2}
0.26306,LEARDINI IX,INI IX,0,710013180,BRA,TRAWLERS,paranagua,128.1,4.9,8.1,8.5,bef91117b-b03a-0f6c-7d13-0020ed220af1,TFCCTF{710013180_paranagua_01.09.2023_07:11_AM_4.9},TFCCTF{710013180_paranagua_01.09.2023_07:11_AM_128.1}
0.26265,WILMAR,WILMAR,8835906,205165000,BEL,TRAWLERS,oostende,615.1,65.1,6.5,51.4,024f610b5-53f4-46f3-b805-34bc906e0de6,TFCCTF{205165000_oostende_18.09.2023_01:22_PM_65.1},TFCCTF{205165000_oostende_18.09.2023_01:22_PM_615.1}
0.2625,JUPITER,UPITER,0,701000924,ARG,TRAWLERS,mar del plata,116.7,112.0,9.0,7.0,e522cd611-1c79-bca2-3e04-c1cdb57e662a,TFCCTF{701000924_mar del plata_08.09.2023_09:31_PM_112.0},TFCCTF{701000924_mar del plata_08.09.2023_09:31_PM_116.7}
0.2625,ZJC330U,JC330U,0,886925988,,TRAWLERS,taizhou,270.2,230.8,9.0,16.2,0c49e0246-6577-b850-6e03-1ecb8a8dc107,TFCCTF{886925988_taizhou_17.09.2023_12:43_AM_230.8},TFCCTF{886925988_taizhou_17.09.2023_12:43_AM_270.2}
0.2625,PROMOPES I,OPES I,0,770576124,URY,TRAWLERS,montevideo,306.8,251.4,11.0,15.0,93ce5b43c-c27d-59ad-cd45-92151df716fa,TFCCTF{770576124_montevideo_02.09.2023_03:21_PM_251.4},TFCCTF{770576124_montevideo_02.09.2023_03:21_PM_306.8}
0.2625,F/V DEOLINDA,OLINDA,7827469,572404220,TUV,TUNA_PURSE_SEINES,london,219.0,185.2,8.0,14.9,25d2b2963-35b3-bce0-dcab-a3d357b5dd9b,TFCCTF{572404220_london_14.09.2023_12:16_PM_185.2},TFCCTF{572404220_london_14.09.2023_12:16_PM_219.0}
0.2625,SAPPHIRE 2,HIRE 2,0,273355290,RUS,TRAWLERS,murmansk,91.6,38.2,11.0,4.5,03a9cf9fd-dc9f-f9d2-96ae-43e1dd52c6ea,TFCCTF{273355290_murmansk_30.09.2023_06:54_AM_38.2},TFCCTF{273355290_murmansk_30.09.2023_06:54_AM_91.6}
0.2625,ZHESHENGYU07688,U07688,0,100921576,,TRAWLERS,shanghai,73.5,27.3,9.0,4.4,2b00fd770-0f5e-1edb-5b5e-cbca965f32fa,TFCCTF{100921576_shanghai_03.09.2023_11:50_AM_27.3},TFCCTF{100921576_shanghai_03.09.2023_11:50_AM_73.5}
