score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.619,SET_LONGLINES,AUGUSTINE,367330420,USA,seward anchorage,240.3,181.1,8.2,15.8,2023-09-18T21:45:21.000Z,2023-09-19T13:31:49.000Z,,,3e20a02e7-72d4-f237-c007-76b5b00cd321,TFCCTF{367330420_seward anchorage_19.09.2023_01:31_PM_240.3}
0.617,TRAWLERS,NINA,701142000,ARG,puerto madryn,403.7,249.2,10.0,21.8,2023-09-04T15:30:11.000Z,2023-09-05T13:18:09.000Z,,,7ae33d2f3-3f89-2a7d-67b2-f184382dc8c9,TFCCTF{701142000_puerto madryn_05.09.2023_01:18_PM_403.7}
0.615,FISHING,ZHEPUYU72366,412420601,CHN,ningbo,327.2,290.0,7.6,23.3,2023-09-05T05:42:12.000Z,2023-09-06T05:00:15.000Z,,,9c7d5762b-b099-3f7e-9708-0a7a7d21daf3,TFCCTF{412420601_ningbo_06.09.2023_05:00_AM_327.2}
0.615,TRAWLERS,DOGGI,257247000,NOR,melkoya,280.5,189.1,11.2,13.5,2023-09-28T16:37:42.000Z,2023-09-29T06:07:53.000Z,,,4fa6b890e-ee39-780a-c2f7-7353d192501d,TFCCTF{257247000_melkoya_29.09.2023_06:07_AM_280.5}
0.615,TRAWLERS,MINXIAYU01156,412450393,CHN,yuhuan,205.7,138.3,9.6,11.5,2023-09-04T13:11:37.000Z,2023-09-05T00:43:38.000Z,,,9ace6a247-708e-0d67-cb8a-33054037e937,TFCCTF{412450393_yuhuan_05.09.2023_12:43_AM_205.7}
0.614,TRAWLERS,ZHERUIYU12208,412431931,CHN,ruian,327.8,201.8,10.2,17.4,2023-09-16T03:40:24.000Z,2023-09-16T21:03:33.000Z,,,6f5515fd0-0f07-9af4-fcec-cb264877da6a,TFCCTF{412431931_ruian_16.09.2023_09:03_PM_327.8}
0.613,FISHING,ZHEPUYUYUN48858,412424164,CHN,zhoushan,293.9,223.4,8.1,19.5,2023-09-05T03:35:24.000Z,2023-09-05T23:04:10.000Z,,,7c42da9ac-ce2b-4061-c2cc-6219528c5c9f,TFCCTF{412424164_zhoushan_05.09.2023_11:04_PM_293.9}
0.613,TRAWLERS,MIN LONG YU 61178,412444645,CHN,taizhou,264.3,170.7,9.1,15.7,2023-09-05T02:19:04.000Z,2023-09-05T18:02:07.000Z,,,95b4d8ef7-7031-ca4d-4e5b-11eb232cec75,TFCCTF{412444645_taizhou_05.09.2023_06:02_PM_264.3}
0.612,TRAWLERS,ZHELINGYU23768,412416028,CHN,taizhou,454.5,315.2,8.6,28.6,2023-09-16T05:10:09.000Z,2023-09-17T09:45:10.000Z,,,a7ec423a0-054c-d67e-06cc-47956b9b46f3,TFCCTF{412416028_taizhou_17.09.2023_09:45_AM_454.5}
0.612,TRAWLERS,ZHELINGYU28898,412417758,CHN,songmen,301.9,185.6,10.3,15.8,2023-09-16T08:19:29.000Z,2023-09-17T00:09:50.000Z,,,0ae37ca28-8cd4-9127-899f-cd318f40fe01,TFCCTF{412417758_songmen_17.09.2023_12:09_AM_301.9}
0.611,TRAWLERS,ZHEDONGYU03489,412430741,CHN,wenzhou,273.4,187.1,8.7,17.1,2023-09-16T05:08:20.000Z,2023-09-16T22:11:42.000Z,,,997e19f4f-ffcb-c12b-3d43-7e8ff3a3d743,TFCCTF{412430741_wenzhou_16.09.2023_10:11_PM_273.4}
0.611,FISHING,YUEYANGDONGYU19189,412463668,CHN,zhuhai,103.5,98.1,10.5,5.3,2023-09-04T17:13:09.000Z,2023-09-04T22:32:41.000Z,,,0977f7e84-4479-d73d-6cb3-39f37bbaedbb,TFCCTF{412463668_zhuhai_04.09.2023_10:32_PM_103.5}
0.61,TRAWLERS,ZHELINGYU29708,412416572,CHN,taizhou,277.7,170.6,9.7,15.5,2023-09-16T06:11:22.000Z,2023-09-16T21:40:12.000Z,,,0ef3fd575-53d6-908e-ab6d-9848fa30d51a,TFCCTF{412416572_taizhou_16.09.2023_09:40_PM_277.7}
0.609,TRAWLERS,29874,412416715,CHN,taizhou,256.2,156.1,10.1,13.7,2023-09-16T08:04:17.000Z,2023-09-16T21:45:02.000Z,,,603036199-9f1b-830c-5e69-eee2e9712208,TFCCTF{412416715_taizhou_16.09.2023_09:45_PM_256.2}
0.607,FISHING,ZHEYUYU17036,412415188,CHN,yuhuan,256.4,185.7,8.3,16.6,2023-09-16T05:25:16.000Z,2023-09-16T22:03:46.000Z,,,082797f9b-bcf0-9e08-790a-705b5002b177,TFCCTF{412415188_yuhuan_16.09.2023_10:03_PM_256.4}
0.606,TRAWLERS,ZHELINGYU23608,412416013,CHN,taizhou,279.9,181.0,9.0,16.8,2023-09-16T04:42:26.000Z,2023-09-16T21:31:51.000Z,,,4730debd1-12d1-77c0-620c-c5cfd32caee0,TFCCTF{412416013_taizhou_16.09.2023_09:31_PM_279.9}
0.606,FISHING,ZHELINGYUYUN10028,412415482,CHN,taizhou,169.5,143.8,7.8,11.7,2023-09-04T11:33:31.000Z,2023-09-04T23:14:48.000Z,,,56384c16e-e6cb-ebc2-4997-cd45eaf93158,TFCCTF{412415482_taizhou_04.09.2023_11:14_PM_169.5}
0.606,TRAWLERS,23699,412417208,CHN,taizhou,285.9,189.2,8.8,17.5,2023-09-16T04:21:47.000Z,2023-09-16T21:53:14.000Z,,,91854da14-4f41-f0df-c26d-87f2f473443e,TFCCTF{412417208_taizhou_16.09.2023_09:53_PM_285.9}
0.605,FISHING,ZHERUIYU01717,412431392,CHN,ruian,331.0,200.9,10.2,17.5,2023-09-16T03:35:56.000Z,2023-09-16T21:07:18.000Z,,,194f00a55-5ac0-6393-b91c-d96570dcff65,TFCCTF{412431392_ruian_16.09.2023_09:07_PM_331.0}
0.605,TRAWLERS,ZHE YU YU 82012,412414578,CHN,taizhou,263.0,229.0,7.6,18.7,2023-09-16T04:17:01.000Z,2023-09-16T23:00:24.000Z,,,1b439ab86-6cf4-cdd7-04b5-736880a73fe2,TFCCTF{412414578_taizhou_16.09.2023_11:00_PM_263.0}
0.604,TRAWLERS,F/V BOUGAINVILLE,228190600,FRA,guilvinec,386.6,321.4,7.7,27.0,2023-09-05T17:06:58.000Z,2023-09-06T20:05:03.000Z,,,1a6080335-57e9-612d-3c3f-0646a81dd83f,TFCCTF{228190600_guilvinec_06.09.2023_08:05_PM_386.6}
0.601,FISHING,ZHELINGYU93099,412419717,CHN,taizhou,247.7,183.3,8.2,16.4,2023-09-04T10:47:24.000Z,2023-09-05T03:08:43.000Z,,,7dd168e89-9bde-bbe9-cca0-de820004a0ba,TFCCTF{412419717_taizhou_05.09.2023_03:08_AM_247.7}
0.6,TRAWLERS,ZHELONGGANGYU05577,412433022,CHN,yuhuan,223.3,171.8,8.0,15.1,2023-09-04T15:31:26.000Z,2023-09-05T06:35:06.000Z,,,808322f23-3186-6f61-ab33-58b1fc9f0500,TFCCTF{412433022_yuhuan_05.09.2023_06:35_AM_223.3}
0.599,TRAWLERS,ZHELINGYU26911,412417084,CHN,taizhou,268.4,166.0,9.3,15.6,2023-09-16T04:37:38.000Z,2023-09-16T20:13:56.000Z,,,5dfdddfc9-9bb6-d381-bbc5-d624d9fe13c1,TFCCTF{412417084_taizhou_16.09.2023_08:13_PM_268.4}
0.599,TRAWLERS,ZHEYUYU83022,412415836,CHN,taizhou,263.0,229.0,7.6,18.8,2023-09-16T04:27:42.000Z,2023-09-16T23:15:33.000Z,,,2a899a081-19ba-bca3-65d9-3a0531f5f5c5,TFCCTF{412415836_taizhou_16.09.2023_11:15_PM_263.0}
0.599,SET_GILLNETS,907 NAM YANG,440129930,KOR,seogwipo,293.8,288.2,7.2,22.1,2023-09-02T06:36:30.000Z,2023-09-03T04:40:08.000Z,,,7a3c4f875-571b-bab6-72a2-edd6b25accf3,TFCCTF{440129930_seogwipo_03.09.2023_04:40_AM_293.8}
0.599,SET_LONGLINES,1,416003167,TWN,donggang,150.5,141.7,7.5,10.9,2023-09-06T22:33:24.000Z,2023-09-07T09:24:46.000Z,,,98a993104-4bf5-7ba7-4e53-f08d034d3bc7,TFCCTF{416003167_donggang_07.09.2023_09:24_AM_150.5}
0.597,TRAWLERS,26988,412419551,CHN,taizhou,290.0,221.6,8.0,19.5,2023-09-04T16:50:43.000Z,2023-09-05T12:23:26.000Z,,,3df07cf35-5a06-cb3a-95ea-7b48240f05ee,TFCCTF{412419551_taizhou_05.09.2023_12:23_PM_290.0}
0.597,TRAWLERS,PUENTE CHICO,701000772,ARG,puerto madryn,149.4,122.5,11.4,7.1,2023-09-02T22:23:01.000Z,2023-09-03T05:29:01.000Z,,,027c7f359-90b4-4a5b-93f0-e31eb692a0cc,TFCCTF{701000772_puerto madryn_03.09.2023_05:29_AM_149.4}
0.596,FISHING,CAP ATLANTIQUE,663270000,SEN,dakar,254.2,160.2,10.9,12.5,2023-09-10T19:53:56.000Z,2023-09-11T08:26:24.000Z,,,0411a34e7-7f77-1514-986c-6b1b4574c2e6,TFCCTF{663270000_dakar_11.09.2023_08:26_AM_254.2}
0.596,TRAWLERS,MIN XIA YU 09812,412442618,CHN,sansha,338.6,206.2,10.6,17.3,2023-09-16T07:14:49.000Z,2023-09-17T00:30:05.000Z,,,982c5dcdc-cfd0-8251-bc0b-64bd37de6e96,TFCCTF{412442618_sansha_17.09.2023_12:30_AM_338.6}
0.596,FISHING,ZHELINGYU23883,412416364,CHN,taizhou,390.7,248.3,9.0,23.5,2023-09-04T07:52:30.000Z,2023-09-05T07:21:15.000Z,,,298226121-157a-818f-10cc-81b2935c1590,TFCCTF{412416364_taizhou_05.09.2023_07:21_AM_390.7}
0.595,TRAWLERS,86001,412386001,CHN,zhoushan,272.1,198.8,8.2,17.9,2023-09-03T07:48:57.000Z,2023-09-04T01:45:32.000Z,,,5a3bde2de-ed8d-5d67-ca5b-c8ae5404d1bd,TFCCTF{412386001_zhoushan_04.09.2023_01:45_AM_272.1}
0.595,SET_GILLNETS,MIN GUK HO,440066620,KOR,guryongpo,98.2,96.8,9.0,5.9,2023-09-29T03:08:36.000Z,2023-09-29T09:03:54.000Z,,,763b5eeb1-11ff-db92-2c25-2a312caa680d,TFCCTF{440066620_guryongpo_29.09.2023_09:03_AM_98.2}
0.594,FISHING,SHILLA HARVESTER,441807000,KOR,london,116.6,115.0,8.0,7.8,2023-09-06T04:57:57.000Z,2023-09-06T12:48:04.000Z,,,44a773354-4f0b-a701-756a-b1ac61b1293d,TFCCTF{441807000_london_06.09.2023_12:48_PM_116.6}
